Mer Number,Cust-Code,Customer,Cust Part No,Date,Stock,Alloc Stock,Location,PCB Type,Fixture,New1,Partfinished,Notes,Spare1,Spare2,ISSUE LEVEL,Date3,Spare4,Spare5,Spare6,MAT,Fecreator,Toolingdate,Sparealpha,Sparenum,Fulldesc,S1,S2,S3,S4,Sd,Sdd,Newalp,Newalp2,Contimp ,Aalpha,Aalpha2,Numm1,Numm2,Qty Bonds,Qty drills ,Qty layers,Comments,Spared,Spared2,Sparen,Spaa,Spab,Tech,x
K42041,CE017,Centum Electronics,T09DL048 1022325 upissue now K45062,16/08/2018,,,,8LYR,,,,,Use CAC,x,2,,,,SIEL,NOBUILD,NDB,16/08/2018,Merlin,8,,,Thales,,,,,,Y,Yes,,Re-Tool,,1,,,,,,,,,,,x
K42048,EL001,Elmatica AS Norway,4108223  8845762641 A PCB Mainboard VTess LT,17/08/2018,,,,6Sx2-BP,,,,,Use CAC,,A,,,ML14,OGEL,NOBUILD,NB,09/10/2018,Merlin,6,,,,,,Yes,,,Y,No,,Re-Tool,,1,,,,,,,,Yes,,,x
K42258,EL001,Elmatica AS Norway,4103173 60257341-00 B PCB SERVO AMPLIFIER CARD,26/09/2018,26,,46,8LYR,,,,,Use CAC,x,B,,,ML5b,OGEL,NOBUILD,SGJ,08/10/2018,Merlin,8,,,,,,Yes,,,Y,No,,New,,1,,,,,22/02/2021,01/03/2021,,No,,,x
K42560,EL024,Elmatica AS Germany,ELM0092616 4166782,05/12/2018,1,,19A,PV_BP,,,16@MAY'24,,Use Foil,,A,,,ML9A,OGEL,NOBUILD,SGJ,06/12/2018,Merlin,4,,,,,,,,,Y,No,,New,,4,,,,,,,,No,,,x
K42561,EL024,Elmatica AS Germany,EP4636A - R-EP4636 Upissue now K46016,05/12/2018,,,,4LYR,,,,,Use CAC,,A,,,,Yes,NOBUILD,TM,07/12/2018,Atoy,4,,,,,,,,,Y,No,,New,,,,,,,,,,,,,x
K42562,EL001,Elmatica AS Norway,9101179 P101221-r89134 upissue now K43864,05/12/2018,,,,6LYR,13781/13802,,,,Use CAC,,No Iss,,,,Yes,NOBUILD,TM,07/12/2018,Atoy,6,,Yes,,,,,,,Y,No,,New,,,,,,,,,,,,,x
K42694,EL024,Elmatica AS Germany,EP4044A1,14/01/2019,,,,4LYR,17973,,,,Use Foil,,A1,,,ML5b,OGEL,NOBUILD,TM,16/01/2019,Atoy,4,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K42742,EL001,Elmatica AS Norway,4039362  3AQ24341AAAA Ed. 01,23/01/2019,,,,PTH,,,,,Use Foil,,1,,,ML11a,OGEL,NOBUILD,TM,28/01/2019,Jen,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K42894,EL024,Elmatica AS Germany,EP4580B,22/02/2019,,,,PV_BP,,,,,Use CAC,,B,,,,OGEL,NOBUILD,CT,27/02/2019,Atoy,6,,,,,,,,,Y,No,,Up Issue,,1,,,,,,,,,,,x
K42982,EL001,Elmatica AS Norway,4118390 3AQ 26535 AAAA PB,14/03/2019,600,,23A,PV_BP,,,,,Use CAC,,01,,,ML11E,OGEL,NOBUILD,TM,25/03/2019,Merlin,2,,,,,,,,,Y,,,Re-Tool,,1,,,,,,,,,,,x
K43052,EL024,Elmatica AS Germany,4076185 05229511 HEAT551,29/03/2019,320,,37,PTH,,,,,Use Foil,x,No Iss,,,ML4b,SIEL,NOBUILD,CT,10/05/2019,Merlin,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K43115,EL001,Elmatica AS Norway,4110626 3AQ29239AAAA PB TMC TCE -621/B Ed.01,10/04/2019,40,,15A,6LYR,,,,,Use CAC,,1,,,ML-11a,OGEL,NOBUILD,CT,15/04/2019,Merlin,6,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K43213,EL024,Elmatica AS Germany,ELM0094098 EP3952A Rev A,08/05/2019,32,,39,PTH,,,,,Use CAC,,A,,,ML9A,OGEL,NOBUILD,TM,13/05/2019,Atoy,2,,,,,,,,,Y,No,,New,,4,,,,,17/05/2024,,,,,,x
K43216,EL024,Elmatica AS Germany,EP4218A,08/05/2019,,,,PTH,,,318@APR'24,,Use Foil,,A,,,ML5b,OGEL,NOBUILD,NDB,09/05/2019,Merlin,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K43292,EL024,Elmatica AS Germany,EP4510A,22/05/2019,1,,3,4LYR,,,,,Use Foil,x,A,,,ML5A,OGEL,NOBUILD,CT,24/05/2019,Merlin,4,,,,,,,,,Y,No,,Re-Tool,,0,,,,,,,,,,,x
K43297,EL024,Elmatica AS Germany,EP3169 Iss B,23/05/2019,,,,12LYR,,,,,Use Foil,x,B,,,ML5b,OGEL,NOBUILD,DF,28/05/2019,Merlin,12,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K43309,TH024,"Thales Defense & Secuirty, Inc",DC719 Rev 2 (Top level Thales ) PPC Machining PIM (1002245-1),24/05/2019,,,,ml_pnl,,,,,Use Foil,,1,,,,SIEL,NOBUILD,CT,23/07/2019,Merlin,4,,Yes,Thales,,,,,,Y,No,,Re-Tool,,1,,,,,,,,,,,x
K43319,EL024,Elmatica AS Germany,TVAM1170424_R1 Utfyllnadskort 400um,29/05/2019,48,,11,UNCLAD,,,,,Use CAC,,R1,,,ML4A,OGEL,NOBUILD,NDB,31/05/2019,Merlin,0,,,,,,,,,,No,,New,,6,,,,,,,,,,,x
K43320,EL024,Elmatica AS Germany,TVAM1170423_R1 Utfyllnadskort 300um,29/05/2019,45,,10,UNCLAD,,,,,Use CAC,,R1,,,ML4A,OGEL,NOBUILD,NDB,31/05/2019,Merlin,0,,,,,,,,,,No,,New,,6,,,,,,,,,,,x
K43329,TH024,"Thales Defense & Secuirty, Inc",DC729 Rev 1 PPC Machining S & A2 1002261 Rev 001 & RFI N22138,30/05/2019,,,,ml_pnl,,,,,Use Foil,,1,,,,SIEL,NOBUILD,CT,17/09/2019,Merlin,6,,Yes,Thales,,,,,,Y,No,,Repeat,,1,,,,,,,,,,,x
K43360,EL024,Elmatica AS Germany,2000002684 TVK1174322 R1,10/06/2019,7,,47,4LYR,,,,,Use CAC,,R1,,,ML5b,OGEL,NOBUILD,SGJ,12/06/2019,Merlin,4,,,,,,,,,Y,No,,Re-Tool,,1,,,,,,,,No,,,x
K43389,EL024,Elmatica AS Germany,8081044 TVA1174471R2,19/06/2019,,,,PTH,,,,,Use Foil,,R2,,,ML5b,OGEL,NOBUILD,CT,20/06/2019,Jen,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K43390,EL024,Elmatica AS Germany,8081045 TVA1174469R1,19/06/2019,,,,PTH,,,,,Use Foil,,R1,,,ML5b,OGEL,NOBUILD,SGJ,20/06/2019,Merlin,2,,,,,,,,,Y,No,,New,,1,,,,,,,,No,,,x
K43399,EL024,Elmatica AS Germany,2000002677 TVA1194879 R2,20/06/2019,2,,50A,PTH,,,,,Use Foil,,R2,,,ML5b,OGEL,NOBUILD,SGJ,27/06/2019,Merlin,2,,,,,,,,,Y,No,,New,,1,,,,,,,,No,,,x
K43406,EL024,Elmatica AS Germany,2000003254 TVA1194787 R2,20/06/2019,1,,47,PTH,19032,,,,Use Foil,x,R2,,,ML5b,OGEL,NOBUILD,SGJ,27/06/2019,Merlin,2,,,,,,,,,Y,No,,New,,1,,,,,,,,No,,,x
K43408,EL024,Elmatica AS Germany,2000002682 TVA2192927 R2,20/06/2019,,,,PTH,,,,,Use Foil,,R2,,,ML5b,OGEL,NOBUILD,SGJ,09/07/2019,Merlin,2,,,,,,,,,Y,No,,New,,1,,,,,,,,No,,,x
K43409,EL001,Elmatica AS Norway,4108005 3AQ22233AAAA PB TMC/C2 Ed 02,21/06/2019,80,,30A,PV_BP,,,,,Use CAC,,02,,,ML5b,OGEL,K43409,DF,25/06/2019,Merlin,6,,,,,,,,,Y,Yes,,New,,1,,,,,,,,,,,x
K43452,EL024,Elmatica AS Germany,8379061-032_A PCB Common Power Switch (x6),01/07/2019,,,,6LYR,,,,,Use Foil,,A,,,ML5b,OGEL,NOBUILD,NDB,09/07/2019,Jen,6,,,,,,,,,Y,No,,Up Issue,,1,,,,,,,,,,,x
K43453,EL024,Elmatica AS Germany,"1860-5233,  1860-5283 PB TX 401025007 REV.B UTG.2",01/07/2019,2,,7,ml_pnl,,,,,Use CAC,,B,,,ML4a,SIEL,NOBUILD,CT,05/07/2019,Jen,12,,,,,,,,,Y,No,,Up Issue,,3,,,,,,,,,,,x
K43493,EL024,Elmatica AS Germany,2000001981 TVA2193053_R1,10/07/2019,2,,23,SS,18889,,,,Use Foil,,R1,,,ML5b,OGEL,NOBUILD,CT,11/07/2019,Atoy,1,,,,,,,,,,No,,New,,1,,,,,,,,,,,x
K43581,EL024,Elmatica AS Germany,EP4242A,07/08/2019,24,,12A,PTH,,,,,Use Foil,,A,,,ML9A,OGEL,NOBUILD,TM,12/08/2019,Jen,2,,,,,,,,,Y,No,,New,,4,,,,,,,,,,,x
K43583,EL024,Elmatica AS Germany,EP2543D1,07/08/2019,,,,8LYR,,,,,Use Foil,,D1,,,ML5b,OGEL,NOBUILD,DF,09/08/2019,Merlin,8,,,,,,,,,Y,,,New,,1,,,,,,,,,,,x
K43584,EL024,Elmatica AS Germany,EP4179 retool now K48230,07/08/2019,,,,6LYR,,,,,Use CAC,,C,,,ML5b,OGEL,NOBUILD,JA,09/08/2019,Jen,6,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K43585,EL024,Elmatica AS Germany,EP4031A,07/08/2019,,,,PTH,,,,,Use CAC,x,A,,,ML5b,OGEL,NOBUILD,AM,09/08/2019,Anne,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K43589,EL024,Elmatica AS Germany,EP2568C1,08/08/2019,7,,38A,4LYR,,,,,Use CAC,,C1,,,ML5b,OGEL,NOBUILD,AM,12/08/2019,Anne,4,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K43592,EL024,Elmatica AS Germany,EP2558C2,08/08/2019,,,,PTH,,,,,Use Foil,,C2,,,ML5b,OGEL,NOBUILD,TM,16/08/2019,Atoy,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K43605,EL024,Elmatica AS Germany,RP259020 mid plate,12/08/2019,7,,UNCLAD,UNCLAD,,,90@AUG'24,,Use CAC,,1,,,ML9A,OGEL,NOBUILD,NDB,16/08/2019,Merlin,1,,,,,,,,,,No,,New,,4,,,,,,,,,,,x
K43625,TH024,"Thales Defense & Security, Inc","DX923 Rev 002 1047754 Rev 002 //1047733(Biscuit) Rev 002, 1047753 (Gerber) Rev 001.",15/08/2019,,,,8LYR,,,,,Use CAC,,1,,,,SIEL,NOBUILD,DF,19/08/2019,Merlin,8,,,Thales,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K43629,EL001,Elmatica AS Norway,9101901-4A PCB 60181527-01 Rev D,15/08/2019,,,,PV_BP,,,,,Use Foil,,D,,,ML4,SIEL,NOBUILD,TM,05/08/2020,Anne,4,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K43647,EL024,Elmatica AS Germany,TVM1139404-R1 2000001779,19/08/2019,4,,44A,4LYR,,,,,Use Foil,,R1,,,ML5b,OGEL,NOBUILD,SGJ,11/09/2019,Merlin,4,,,,,,,,,Y,No,,New,,1,,,,,,,,No,,,x
K43649,EL024,Elmatica AS Germany,TVA1175143_R1 2000004261,19/08/2019,13,,38A,PTH,,,,,Use CAC,,R1,,,ML5b,OGEL,NOBUILD,AB,02/09/2019,Atoy,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K43672,EL001,Elmatica AS Norway,4127355 PCB XSR Power Module GEC10047B-D,23/08/2019,,,,PV_BP,,,,ON HOLD S,Use CAC,,No Iss,,,,Yes,NOBUILD,CT,30/08/2019,Jen,6,,,,,,,,,Y,No,,New,,0,,,,,,,,,,,x
K43679,EL024,Elmatica AS Germany,TVA1194676 R7,27/08/2019,,,,PV_BP,,,,,Use CAC,,R7,,,ML5b,OGEL,NOBUILD,CT,10/09/2019,Anne,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K43682,EL024,Elmatica AS Germany,2000002686  TVK1174336_R3 retool now K48491,27/08/2019,,,,4LYR,,,,,Use Foil,,R3,,,ML5b,OGEL,NOBUILD,CT,02/09/2019,Atoy,4,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K43697,EL024,Elmatica AS Germany,ELM0068483 LFSWEP4143A,30/08/2019,10,,22A,PTH,,,,,Use Foil,,A,,,ML5b,OGEL,NOBUILD,CT,03/09/2019,Anne,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K43698,EL024,Elmatica AS Germany,ELM0094033 LFSWEP4141A,31/08/2019,,,,PTH,,,,,Use Foil,,A,,,ML5b,OGEL,NOBUILD,CT,03/09/2019,Jen,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K43712,EL024,Elmatica AS Germany,EP4786A,03/09/2019,4,,41A,PV_BP,,,,,Use Foil,,A,,,ML10A,OGEL,NOBUILD,TM,04/09/2019,Jen,8,,,,,,,,,Y,No,,New,,4,,,,,,,,,,,x
K43721,EL024,Elmatica AS Germany,EP3429B,04/09/2019,1,,45A,14LYR,18167,,,,Use CAC,,B,,,ML5b,OGEL,NOBUILD,NDB,09/09/2019,Jen,14,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K43723,EL024,Elmatica AS Germany,4111001_1_zip (22PCB DOC - 1284594 - 1 -A1) -1  8901275-001,05/09/2019,9,,12,ml_pnl,,,,,Use CAC,,1,,,ML5a,OGEL,NOBUILD,NDB,20/09/2019,Merlin,6,,,,,,,,,Y,Yes,,Up Issue,,1,,,,,,,,,,,x
K43787,EL024,Elmatica AS Germany,1860-5309 NLT_IOU_Base Rev A UTG 1,17/09/2019,,,,14LYR,,,,,Use CAC,,A,,,ML4A,OGEL,NOBUILD,SGJ,20/09/2019,Merlin,14,,,,,,,,,Y,No,,Up Issue,,6,,,,,,,,No,,,x
K43822,EL024,Elmatica AS Germany,EP2290b,01/10/2019,,,,PTH,,,,,Use Foil,,b,,,ML5b,OGEL,NOBUILD,CT,02/10/2019,Anne,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K43859,EL024,Elmatica AS Germany,2000005064  TVA1194783_R3,08/10/2019,8,,43,PTH,,,,,Use Foil,,R3,,,ML5b,OGEL,NOBUILD,TM,22/10/2019,Jen,2,,,Beyond Gravity,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K43861,EL024,Elmatica AS Germany,EP4473 Rev 1.1,08/10/2019,4,,20,4LYR,,,,,Use Foil,,1.1,,,ML5b,OGEL,NOBUILD,CT,22/10/2019,Merlin,4,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K43875,EL024,Elmatica AS Germany,EP4305A,08/10/2019,,,,PTH,,,,,Use Foil,,A,,,ML5b,OGEL,NOBUILD,TM,17/10/2019,Anne,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K43897,EL024,Elmatica AS Germany,EP4481B1,15/10/2019,54,,Despatch,PTH,,,,,Use CAC,,B1,,,ML,OGEL,NOBUILD,CT,16/10/2019,Anne,2,,,,,,,,,Y,No,,Up Issue,,6,,,,,,,,,,,x
K43934,EL024,Elmatica AS Germany,4127885  PCB Test Adapter B214A 2834105_B,22/10/2019,3,,49A,4LYR,,,,,Use Foil,,B,,,ML,OGEL,NOBUILD,CT,29/10/2019,Anne,4,,,,,,,,,Y,No,,New,,5,,,,,,,,,,,x
K43961,IN059,Intracom Defense Single Member,F07-A04/45 upissue now K48382,24/10/2019,,,,14Sx2-BP,18105/18120,,,,Use CAC,,D2,,,ML5b,OGEL,NOBUILD,DF,31/10/2019,Merlin,14,,,,,,,,,Y,Yes,,New,,1,,,,,,,,Yes,,,x
K43975,EL024,Elmatica AS Germany,1860-5342  PCB Alignment Electronics 401019221,29/10/2019,,,,6LYR,,,,,Use CAC,,No Iss,,,,SIEL,NOBUILD,NDB,05/11/2019,Jen,6,,,,,,,,,Y,Yes,,New,,1,,,,,,,,,,,x
K44005,EL024,Elmatica AS Germany,8379266-001 A PWB TTL Controller Module,06/11/2019,,,,4LYR,,,,,Use Foil,,A,,,ML5b,OGEL,NOBUILD,TM,07/11/2019,Atoy,4,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K44027,EL024,Elmatica AS Germany,EP4732B retool now K49354,08/11/2019,,,,4LYR,17901,,,,Use Foil,x,B,,,,Yes,NOBUILD,CT,11/11/2019,Anne,4,,,,,,,,,Y,No,ITAR,Up Issue,,,,,,,,,,,,,x
K44037,EL024,Elmatica AS Germany,EP4719A Also K45393,11/11/2019,,,,PTH,,,223@JUL'24,,Use Foil,,A,,,ML9A,OGEL,NOBUILD,AM,13/11/2019,Anne,2,,,,,,,,,Y,No,,New,,4,,,,,,,,,,,x
K44071,EL024,Elmatica AS Germany,8379261-202 A PCB Common Relay Card (x12),19/11/2019,12,,43,8LYR,,,,,Use CAC,,A,,,ML5b,OGEL,NOBUILD,CT,20/11/2019,Anne,8,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K44105,EL024,Elmatica AS Germany,EP2557D1,26/11/2019,8,,42B,6LYR,,,,,Use CAC,,D1,,,ML9A,OGEL,NOBUILD,AM,02/12/2019,Merlin,6,,,,,,,,,Y,No,,New,,4,,,,,,,,,,,x
K44130,EL024,Elmatica AS Germany,ELM0071033 EP4784,29/11/2019,12,,37,PV_BP,19403,,,,Use CAC,x,A,,,ML5b,OGEL,NOBUILD,DF,02/12/2019,Merlin,10,,,,,,,,,Y,Yes,,,,1,,,,,,,,,,,x
K44132,EL024,Elmatica AS Germany,1860-5359  PCB NLT_BAT_BICH 401026966 Rev A UTG 1,02/12/2019,,,,4LYR,19510,,,,Use Foil,x,A,,,Ml4A,OGEL,NOBUILD,TM,04/12/2019,Atoy,4,,,,,,,,,Y,No,,New,,5,,,,,,,,,,,x
K44237,NC002,NCAB Group Finland OY,ELM0071059 LFSWEP4386A,03/01/2020,6,,30,6LYR,,,,,Use CAC,,A,,,ML5b,OGEL,NOBUILD,CT,07/01/2020,Jen,6,,,,,,,,,Y,No,,New,,4,,,,,,,,,,,x
K44249,EL024,Elmatica AS Germany,TVK1194782_R3,10/01/2020,2,,43A,PTH,,,18@OCT'23,,Use Foil,,R3,,,ML5b,OGEL,NOBUILD,JA,13/01/2020,Jen,2,,,Beyond Gravity,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K44268,EL001,Elmatica AS Norway,4125020 GE8614T201 Rev A,15/01/2020,20,,47,6LYR,,,,,Use Foil,,A,,,ML6a,OGEL,NOBUILD,CT,15/01/2020,Atoy,6,,,,,,,,,Y,,,Up Issue,,1,,,,,,,,,,,x
K44390,EL024,Elmatica AS Germany,TVMM6050015-R1 now ELM0072191 8081109,05/02/2020,,,,PV_BP,,,,,Use CAC,x,1,,,ML5b,OGEL,NOBUILD,DF,12/02/2020,Merlin,8,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K44411,EL024,Elmatica AS Germany,EP2489C1,06/02/2020,4,,48,4LYR,,,,,Use Foil,,C,,,ML5a,OGEL,NOBUILD,CT,15/02/2020,Anne,4,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K44417,EL024,Elmatica AS Germany,ELM0094102 LFSWEP4655B,07/02/2020,11,,18B,PV_BP,,,,,Use CAC,,B,,,ML5a,OGEL,NOBUILD,TM,14/02/2020,Atoy,6,,,,,,,,,Y,No,,New,,4,,,,,,,,,,,x
K44418,EL024,Elmatica AS Germany,EP4406A,07/02/2020,12,,24A,PTH,,,,,Use Foil,,A,,,ML5b,OGEL,NOBUILD,LQ,13/02/2020,Merlin,2,,,,,,,,,Y,No,,New,,4,,,,,,,,,,,x
K44462,EL024,Elmatica AS Germany,48-4133-0 EP4133B also K49431 now K49456,13/02/2020,,,,PTH,,,,,Use Foil,,B,,,ML5b,OGEL,NOBUILD,CT,15/02/2020,Anne,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K44514,EL001,Elmatica AS Norway,4102826 60257339-00 PCB Protech Trigger Rev C,20/02/2020,,,,PV_BPX,,,,,Use CAC,,C,,,ML5a,OGEL,NOBUILD,NDB,29/02/2020,Merlin,4,,,,,,,,,Y,No,,Re-Tool,,1,,,,,,,,,,,x
K44537,EL024,Elmatica AS Germany,4130180,24/02/2020,8,,46A,6LYR,,,,,Use Foil,,A,,,ML5b,OGEL,NOBUILD,DF,26/02/2020,Merlin,6,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K44540,TH024,"Thales Defense & Security, Inc",EF863 1068741 Rev 1 Retool now K44912,24/02/2020,,,,6LYR,15049/17963/18311,,,,Use CAC,,1,,,,SIEL,NOBUILD,SGJ,03/03/2020,Merlin,6,,,Thales,,,,,,Y,No,,New,,1,,,,,,,,No,,,x
K44545,EL024,Elmatica AS Germany,4131565_1 PCB VIP1_3U 30001529-001_A Retool now K48075,24/02/2020,,,,PV_BP,,,,,Use CAC,,1,,,ML5b,OGEL,NOBUILD,NDB,25/02/2020,Merlin,18,,,,,,,,,Y,Yes,,New,,1,,,,,,,,,,,x
K44548,EL024,Elmatica AS Germany,TVKM1170393_R2 upissue now K48505,25/02/2020,,,,PV_BP,,,,ON HOLD S,Use Foil,,R2,,,,Yes,NOBUILD,DF,02/03/2020,Merlin,6,,,,,,,,,Y,No,,New,,,,,,,,,,,,,x
K44576,EL024,Elmatica AS Germany,8081058  TVKM1170064_R5,28/02/2020,4,,4A,6LYR,18954,,,,Use CAC,,R5,,,ML5b,OGEL,NOBUILD,CT,06/03/2020,Jen,6,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K44619,EL024,Elmatica AS Germany,8081119  TVKM1170063_R4,05/03/2020,,,,PV_BP,,,,,Use CAC,,R4,,,ML5b,OGEL,NOBUILD,NDB,17/04/2020,Merlin,6,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K44634,EL024,Elmatica AS Germany,8081116  TVKM1170165 R1,06/03/2020,18,,18A,PTH,,,,,Use CAC,,R1,,,ML5b,OGEL,NOBUILD,AM,12/03/2020,Anne,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K44651,EL024,Elmatica AS Germany,8081048 TVKM1170378_R1,09/03/2020,,,,PTH,,,,,Use CAC,,R1,,,ML10A,OGEL,NOBUILD,NDB,12/03/2020,Merlin,2,,,,,,,,,Y,No,,New,,4,,,,,,,,,,,x
K44661,EL024,Elmatica AS Germany,TVKM1170176-R3 8081123,10/03/2020,,,,PTH,,,,,Use CAC,,R3,,,ML5b,OGEL,NOBUILD,CT,13/03/2020,Anne,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K44688,EL001,Elmatica AS Norway,PBZ852.08 Blankboard MRD7 - RF7 IF2 & HF Switch,17/03/2020,,,,PTH,,,,,Use Foil,,08,,,ML5b,OGEL,NOBUILD,CT,23/03/2020,Merlin,2,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K44689,EL001,Elmatica AS Norway,PBZ853.06 Blankboard HF Stage,17/03/2020,,,,depth_dr,,,,,Use Foil,x,06,,,ML5b,OGEL,NOBUILD,CT,19/03/2020,Atoy,4,,,,,,,,,Y,No,,New,,1,,,,,,,,Yes,,,x
K44695,EL024,Elmatica AS Germany,ELM0073957 8081110 Re-tool also K50385,18/03/2020,,,,PV_BP_RT,19448/19513,,,,Use CAC,,R3,,,ML5b,OGEL,NOBUILD,TM,25/03/2020,Jen,6,,,,,,,,,Y,No,,New,,4,,,,,,,,,,,x
K44782,EL024,Elmatica AS Germany,EP4524B,01/04/2020,,,,PTH,,,,,Use Foil,,B,,,ML10A,OGEL,NOBUILD,TM,07/04/2020,Anne,2,,,,,,,,,Y,No,,New,,4,,,,,,,,,,,x
K44786,EL024,Elmatica AS Germany,ELM0090012 8081249,02/04/2020,45,,32B,4LYR,,,,,Use CAC,,R2,,,ML5b,OGEL,NOBUILD,DF,07/04/2020,Merlin,4,,Yes,Hanza,,,,,,Y,Yes,,New,,4,,,,,,,,,,,x
K44787,EL024,Elmatica AS Germany,EP4127A,02/04/2020,,,,12LYR,,,,,Use CAC,,A,,,ML5b,OGEL,NOBUILD,CT,07/04/2020,Jen,12,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K44819,EL024,Elmatica AS Germany,TVK2192935_R1,08/04/2020,2,,44A,4LYR,18778,,,,Use Foil,,R1,,,ML5b,OGEL,NOBUILD,CT,14/04/2020,Anne,4,,,Beyond Gravity,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K44847,EL024,Elmatica AS Germany,8081118 TVKM1170128,15/04/2020,,,,rt1,,,,,Use Foil,,R1,,,ML5b,OGEL,NOBUILD,TM,21/04/2020,Jen,10,,,,,,,,,Y,No,,New,,1,,,,,,,,,,,x
K44852,EL024,Elmatica AS Germany,8081128  TVKM1170348 R1,16/04/2020,,,,6LYR,,,,,Use Foil,,R1,,,ML5b,OGEL,NOBUILD,SGJ,04/05/2020,Merlin,6,,,,,,,,,Y,No,,New,,1,,,,,,,,No,,,x
K44885,EL024,Elmatica AS Germany,4115758 3AQ 26415 AAAA PB PCM Ed.3,23/04/2020,,,,PV_BP,,,,,Use CAC,x,3,,,ML5b,OGEL,K44885,CR,29/04/2020,Merlin,6,,,,,,,,,Y,No,,Re-Tool,,4,,,,,,,,,,,x
K44912,TH024,"Thales Defense & Security, Inc",EF863,01/05/2020,,,,6LYR,16518,,,,Use CAC,,1,,,,SIEL,K44912,DF,26/05/2020,Merlin,6,,,Thales,,,,,032264 issue 1,Y,No,,Up Issue,,1,,,,,,,,,,,x
K44941,EL024,Elmatica AS Germany,TVKM1170313 R1,11/05/2020,23,,19,4LYR,,,,,Use CAC,,R1,,,ML5b,OGEL,NOBUILD,CT,12/05/2020,Anne,4,,,,,,,,,Y,,,New,,1,,,,,,,,,,,x
K44945,EL024,Elmatica AS Germany,ELM0053595 4111606,11/05/2020,5,,33A,PV_BP,,,,,Use Foil,,A,,,ML10A,OGEL,K44945,CT,19/05/2020,Merlin,8,,,,,,,,,Y,No,,Re-Tool,,4,,,,,,,,,,,x
K45011,EL024,Elmatica AS Germany,ELM0076151 1860-5401,28/05/2020,4,,13,4LYR,,,,,Use CAC,00,,,,ML9A,OGEL,NOBUILD,TM,,Atoy,,,,,,,,,,Y,No,,New,,4,,,,,,,,,,,
K45004,EL024,Elmatica AS Germany,EP4835A,27/05/2020,,,,PV_BP_2,,,,,Use CAC,,A,,,ML9A,OGEL,NOBUILD,DF,01/06/2020,Merlin,12,,,SAAB Suvillance,,,,,,,,,,,,,,,,,,,,,,
K45061,CE017,Centum Electronics,T09EH064VER001 PPC Machining Power Conditioni retool now K49080,12/06/2020,,,,6LYR,,,,,Use CAC,x,001,,,,SIEL,NOBUILD,DF,23/06/2020,Merlin,6,,,Thales,,,,,,Y,No,,Up Issue,,1,,,,,,,,,,,x
K45062,CE017,Centum Electronics,T09EH124VER001 Panel Printed Circuit Machinin,12/06/2020,,,,8LYR,,,,,Use CAC,,001,,,ML4a,SIEL,NOBUILD,DF,23/06/2020,Merlin,8,,,Thales,,,,,,Y,No,,Up Issue,,2,,,,,,,,,,,x
K45074,EL024,Elmatica AS Germany,4147837 Rev 1 PSM VPU 28V 20005183 -003A,16/06/2020,,,,PV_BP,18068,,,,Use Foil,,1,,,ML5b,OGEL,NOBUILD,CT,22/06/2020,Anne,10,,,SAAB,,,,,,Y,No,,Up Issue,,1,,,,,,,,,,,x
